,altitude,distance
0,234.8,0.0
1,234.2,10.4
2,233.8,21.2
3,233.4,53.8
4,233.0,64.9
5,232.6,85.1
6,232.2,96.7
7,231.8,108.4
8,231.8,143.8
9,231.4,180.1
10,231.0,192.8
11,230.4,205.2
12,230.0,217.6
13,229.6,230.3
14,229.6,243.0
15,229.6,304.8
16,229.6,366.3
17,229.6,378.4
18,229.6,441.0
19,229.2,480.2
20,228.6,493.6
21,228.2,507.5
22,227.2,521.5
23,226.4,536.6
24,225.6,551.5
25,224.6,566.8
26,223.8,582.8
27,222.6,598.4
28,221.2,614.4
29,219.8,630.8
30,218.4,647.3
31,217.0,664.0
32,215.4,680.9
33,214.4,698.3
34,213.2,715.4
35,212.0,732.4
36,210.8,749.2
37,209.6,765.5
38,209.6,782.0
39,209.6,846.0
40,209.6,876.3
41,210.2,904.7
42,210.8,918.6
43,211.4,932.0
44,212.0,945.2
45,212.6,957.7
46,213.2,970.5
47,214.0,982.8
48,214.8,994.8
49,215.6,1006.7
50,216.4,1018.6
51,217.2,1030.1
52,217.8,1041.3
53,218.4,1052.2
54,219.0,1063.4
55,219.8,1074.2
56,220.2,1085.0
57,220.8,1096.1
58,221.4,1106.7
59,221.8,1117.0
60,222.4,1127.7
61,222.4,1137.5
62,223.0,1147.4
63,223.4,1157.2
64,224.0,1166.4
65,224.6,1175.9
66,225.0,1185.3
67,225.6,1194.5
68,226.0,1203.9
69,226.4,1212.9
70,226.8,1221.7
71,227.2,1230.4
72,227.6,1239.2
73,228.2,1248.1
74,228.6,1256.3
75,229.0,1264.7
76,229.6,1272.9
77,230.0,1281.2
78,230.4,1289.5
79,230.8,1297.6
80,231.4,1305.9
81,231.8,1313.9
82,231.8,1340.3
83,231.4,1393.5
84,230.8,1405.7
85,230.4,1418.1
86,229.8,1431.1
87,229.2,1443.9
88,228.6,1457.4
89,228.0,1470.4
90,227.4,1483.9
91,227.4,1546.0
92,227.8,1569.5
93,228.2,1580.4
94,228.8,1591.6
95,229.2,1602.6
96,229.8,1613.5
97,230.4,1624.5
98,231.0,1634.9
99,231.6,1646.0
100,232.2,1657.4
101,233.0,1668.8
102,233.6,1680.8
103,233.2,1692.8
104,233.0,1704.9
105,232.8,1717.0
106,232.4,1729.7
107,232.0,1742.4
108,231.4,1755.3
109,230.6,1769.4
110,229.8,1782.9
111,229.0,1797.2
112,228.2,1812.2
113,227.2,1827.5
